
Song:
	samples = 2838528
	channels = 2
	totalsamples = 5677056
	samples per point = 3032
	meterScale = 200
	tolerance = 1
	quantize bpm = 243 thru 480

Points:1873

	idx       time                val                 startsample         endsample           delta               actualbpm           bpm                 
	--------- ------------------- ------------------- ------------------- ------------------- ------------------- ------------------- ------------------- 
	175            6.0                 0.2            530600              533631                                                                          
	176            6.1                 0.2            533632              536663                                                                          
	177            6.1                 0.2            536664              539695                                                                          
	178            6.1                 0.1            539696              542727                                                                          
	179            6.2                 0.0            542728              545759                                                                          
	180            6.2                 0.0            545760              548791                                                                          
	181            6.2                 0.1            548792              551823                                                                          
	182            6.3                 0.1            551824              554855                                                                          
	183            6.3                 0.2            554856              557887                                                                          
	184            6.3                 0.1            557888              560919                                                                          
	185            6.4                 0.1            560920              563951                                                                          
	186            6.4                 0.1            563952              566983                                                                          
	187            6.4                 0.2            566984              570015                                                                          
	188            6.5                 0.1            570016              573047                                                                          
	189            6.5                 0.2            573048              576079                                                                          
	190            7.5                 0.3            576080              579111                                                                          
	191            7.6                 0.0            579112              582143                                                                          
	192            7.6                 0.0            582144              585175                                                                          
	193            7.6                 0.2            585176              588207                                                                          
	194            7.7                 0.1            588208              591239                                                                          
	195            7.7                 0.3            591240              594271                                                                          
	196            7.7                 0.5            594272              597303                                                                          
	197            7.8                 0.3            597304              600335                                                                          
	198            7.8                 0.1            600336              603367                                                                          
	199            7.8                 0.1            603368              606399                                                                          
	200            7.9                 0.1            606400              609431                                                                          
	201            7.9                 0.1            609432              612463                                                                          
	202            7.9                 0.1            612464              615495                                                                          
	203            71.0                0.0            615496              618527                                                                          
	204            7.0                 0.0            618528              621559                                                                          
	205            7.0                 0.0            621560              624591                                                                          
	206            7.1                 0.1            624592              627623                                                                          
	207            7.1                 0.1            627624              630655                                                                          
	208            7.2                 0.0            630656              633687                                                                          
	209            7.2                 0.0            633688              636719                                                                          
	210            7.2                 0.1            636720              639751                                                                          
	211            7.3                 0.1            639752              642783                                                                          
	212            7.3                 0.1            642784              645815                                                                          
	213            7.3                 0.2            645816              648847                                                                          
	214            7.4                 1.8            648848              651879                                                                          
	215            7.4                 2.6            651880              654911                                                                          
	216            7.4                 11.0           654912              657943                                                                          
	217            7.5                 1.2            657944              660975                                                                          
	218            7.5                 1.2            660976              664007                                                                          
	219            8.5                 0.0            664008              667039                                                                          
	220            8.6                 2.8            667040              670071                                                                          
	221            8.6                 0.3            670072              673103                                                                          
	222            8.6                 1.5            673104              676135                                                                          
	223            8.7                 1.8            676136              679167                                                                          
	224            8.7                 11.0           679168              682199                                                                          
	225            8.7                 2.6            682200              685231                                                                          
	226            8.8                 1.8            685232              688263                                                                          
	227            8.8                 1.4            688264              691295                                                                          
	228            8.8                 0.4            691296              694327                                                                          
	229            8.9                 2.5            694328              697359                                                                          
	230            8.9                 1.9            697360              700391                                                                          
	231            8.9                 1.1            700392              703423                                                                          
	232            81.0                1.3            703424              706455                                                                          
	233            8.0                 0.5            706456              709487                                                                          
	234            8.0                 2.8            709488              712519                                                                          
	235            8.1                 0.0            712520              715551                                                                          
	236            8.1                 1.4            715552              718583                                                                          
	237            8.1                 1.8            718584              721615                                                                          
	238            8.2                 1.2            721616              724647                                                                          
	239            8.2                 1.3            724648              727679                                                                          
	240            8.3                 1.7            727680              730711                                                                          
	241            8.3                 1.4            730712              733743                                                                          
	242            8.3                 0.4            733744              736775                                                                          
	243            8.4                 2.6            736776              739807                                                                          
	244            8.4                 1.8            739808              742839                                                                          
	245            8.4                 1.2            742840              745871                                                                          
	246            8.5                 1.2            745872              748903                                                                          
	247            8.5                 0.4            748904              751935                                                                          
	248            9.5                 2.8            751936              754967                                                                          
	249            9.6                 0.0            754968              757999                                                                          
	250            9.6                 1.3            758000              761031                                                                          
	251            9.6                 1.9            761032              764063                                                                          
	252            9.7                 1.1            764064              767095                                                                          
	253            9.7                 2.6            767096              770127                                                                          
	254            9.7                 1.7            770128              773159                                                                          
	255            9.8                 2.5            773160              776191                                                                          
	256            9.8                 0.3            776192              779223                                                                          
	257            9.8                 2.8            779224              782255                                                                          
	258            9.9                 1.6            782256              785287                                                                          
	259            9.9                 1.1            785288              788319                                                                          
	260            9.9                 1.3            788320              791351                                                                          
	261            91.0                0.3            791352              794383                                                                          
	262            9.0                 2.5            794384              797415                                                                          
	263            9.0                 0.2            797416              800447                                                                          
	264            9.1                 1.3            800448              803479                                                                          
	265            9.1                 1.9            803480              806511                                                                          
	266            9.1                 1.3            806512              809543                                                                          
	267            9.2                 1.0            809544              812575                                                                          
	268            9.2                 1.6            812576              815607                                                                          
	269            9.2                 1.3            815608              818639                                                                          
	270            9.3                 0.4            818640              821671                                                                          
	271            9.3                 2.7            821672              824703                                                                          
	272            9.4                 1.6            824704              827735                                                                          
	273            9.4                 1.0            827736              830767                                                                          
	274            9.4                 1.3            830768              833799                                                                          
	275            9.5                 0.5            833800              836831                                                                          
	276            9.5                 2.7            836832              839863                                                                          
	277           10.5                 0.1            839864              842895                                                                          
